id,document,canton,year,n,form,frpos,frlemma,lang,list
w_FR_FR_2002_127583,FR_FR,FR,2002,127583,réseau,NOM,réseau,FR,lemmesTempsFR
w_FR_FR_2002_127585,FR_FR,FR,2002,127585,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_128928,FR_FR,FR,2002,128928,desserte,NOM,desserte,FR,lemmesTempsFR
w_FR_FR_2002_128930,FR_FR,FR,2002,128930,transport,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_128941,FR_FR,FR,2002,128941,matière,NOM,matière,FR,lemmesTempsFR
w_FR_FR_2002_128943,FR_FR,FR,2002,128943,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_128978,FR_FR,FR,2002,128978,réseau,NOM,réseau,FR,lemmesTempsFR
w_FR_FR_2002_128980,FR_FR,FR,2002,128980,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_129024,FR_FR,FR,2002,129024,offre,NOM,offre,FR,lemmesTempsFR
w_FR_FR_2002_129026,FR_FR,FR,2002,129026,transport,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_129039,FR_FR,FR,2002,129039,où,PRO:REL,où,FR,lemmesTempsFR
w_FR_FR_2002_129041,FR_FR,FR,2002,129041,transport,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_129283,FR_FR,FR,2002,129283,performant,ADJ,performant,FR,lemmesTempsFR
w_FR_FR_2002_129285,FR_FR,FR,2002,129285,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_129334,FR_FR,FR,2002,129334,moyen,NOM,moyen,FR,lemmesTempsFR
w_FR_FR_2002_129336,FR_FR,FR,2002,129336,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_129431,FR_FR,FR,2002,129431,réseau,NOM,réseau,FR,lemmesTempsFR
w_FR_FR_2002_129433,FR_FR,FR,2002,129433,transport,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_129453,FR_FR,FR,2002,129453,Entreprises,NOM,entreprise,FR,lemmesTempsFR
w_FR_FR_2002_129455,FR_FR,FR,2002,129455,transport,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_129483,FR_FR,FR,2002,129483,planification,NOM,planification,FR,lemmesTempsFR
w_FR_FR_2002_129485,FR_FR,FR,2002,129485,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_129541,FR_FR,FR,2002,129541,mobilité,NOM,mobilité,FR,lemmesTempsFR
w_FR_FR_2002_129543,FR_FR,FR,2002,129543,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_129556,FR_FR,FR,2002,129556,modale,ADJ,modal,FR,lemmesTempsFR
w_FR_FR_2002_129558,FR_FR,FR,2002,129558,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_129710,FR_FR,FR,2002,129710,Réseau,NOM,réseau,FR,lemmesTempsFR
w_FR_FR_2002_129712,FR_FR,FR,2002,129712,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_129715,FR_FR,FR,2002,129715,réseau,NOM,réseau,FR,lemmesTempsFR
w_FR_FR_2002_129717,FR_FR,FR,2002,129717,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_129746,FR_FR,FR,2002,129746,biais,NOM,biais,FR,lemmesTempsFR
w_FR_FR_2002_129748,FR_FR,FR,2002,129748,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_130284,FR_FR,FR,2002,130284,offre,NOM,offre,FR,lemmesTempsFR
w_FR_FR_2002_130286,FR_FR,FR,2002,130286,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_130346,FR_FR,FR,2002,130346,réseau,NOM,réseau,FR,lemmesTempsFR
w_FR_FR_2002_130348,FR_FR,FR,2002,130348,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_130405,FR_FR,FR,2002,130405,offre,NOM,offre,FR,lemmesTempsFR
w_FR_FR_2002_130407,FR_FR,FR,2002,130407,transports,NOM,transport,FR,lemmesTempsFR
w_FR_FR_2002_130505,FR_FR,FR,2002,130505,attractivité,NOM,attractivité,FR,lemmesTempsFR
w_FR_FR_2002_130507,FR_FR,FR,2002,130507,transports,NOM,transport,FR,lemmesTempsFR
