id,document,canton,year,n,form,depos,delemma,lang,list
w_DE_AR_1987_54260,DE_AR,AR,1987,54260,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_AR_1987_54631,DE_AR,AR,1987,54631,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_AR_1987_54844,DE_AR,AR,1987,54844,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_LU_2025_27508,DE_LU,LU,2025,27508,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_NW_2024_2982,DE_NW,NW,2024,2982,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_NW_2024_28049,DE_NW,NW,2024,28049,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_NW_2024_35515,DE_NW,NW,2024,35515,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_NW_2024_46433,DE_NW,NW,2024,46433,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_NW_2024_47940,DE_NW,NW,2024,47940,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_NW_2024_48972,DE_NW,NW,2024,48972,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_NW_2024_63779,DE_NW,NW,2024,63779,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_NW_2024_69431,DE_NW,NW,2024,69431,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_AI_2011_8526,DE_AI,AI,2011,8526,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_AI_2011_23392,DE_AI,AI,2011,23392,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_SZ_1986_11560,DE_SZ,SZ,1986,11560,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_SZ_1986_12930,DE_SZ,SZ,1986,12930,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_SZ_1986_20615,DE_SZ,SZ,1986,20615,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_SZ_1986_22117,DE_SZ,SZ,1986,22117,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_SZ_1986_38960,DE_SZ,SZ,1986,38960,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_SO_2023_7389,DE_SO,SO,2023,7389,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_SO_2023_24506,DE_SO,SO,2023,24506,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_SO_2023_25402,DE_SO,SO,2023,25402,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_SO_2023_26845,DE_SO,SO,2023,26845,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_SO_2023_31290,DE_SO,SO,2023,31290,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_SO_2023_39747,DE_SO,SO,2023,39747,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_SO_2023_39757,DE_SO,SO,2023,39757,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_SO_2023_53641,DE_SO,SO,2023,53641,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_SO_2023_53939,DE_SO,SO,2023,53939,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_SO_2023_53962,DE_SO,SO,2023,53962,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_OW_2006_13181,DE_OW,OW,2006,13181,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_OW_2006_22819,DE_OW,OW,2006,22819,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_OW_2006_26328,DE_OW,OW,2006,26328,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_UR_2023_11539,DE_UR,UR,2023,11539,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_UR_2023_14649,DE_UR,UR,2023,14649,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_UR_2023_31011,DE_UR,UR,2023,31011,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_UR_2023_50375,DE_UR,UR,2023,50375,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_UR_2023_54183,DE_UR,UR,2023,54183,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_GL_2025_18146,DE_GL,GL,2025,18146,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_GL_2025_32455,DE_GL,GL,2025,32455,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_GL_2025_38128,DE_GL,GL,2025,38128,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_SZ_2008_1732,DE_SZ,SZ,2008,1732,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_SZ_2008_3108,DE_SZ,SZ,2008,3108,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_SZ_2008_14657,DE_SZ,SZ,2008,14657,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_SZ_2008_20844,DE_SZ,SZ,2008,20844,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_SZ_2008_22495,DE_SZ,SZ,2008,22495,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BS_2019_1152,DE_BS,BS,2019,1152,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BS_2019_6921,DE_BS,BS,2019,6921,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BS_2019_7284,DE_BS,BS,2019,7284,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_BS_2024_41621,DE_BS,BS,2024,41621,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_ZG_2004_10901,DE_ZG,ZG,2004,10901,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_ZG_2004_11016,DE_ZG,ZG,2004,11016,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_ZG_2004_13686,DE_ZG,ZG,2004,13686,Kosten,NN,Kosten,DE,lemmesTempsDE
w_DE_ZG_2004_14338,DE_ZG,ZG,2004,14338,Kosten,NN,Kosten,DE,lemmesTempsDE
